neg_event,event
PersonX does not remodel PersonY's bathroom,PersonX remodels PersonY's bathroom
PersonX does not call PersonY last night,PersonX calls PersonY last night
PersonX does not suspend PersonY,PersonX suspends PersonY
PersonX does not get PersonY's phone number,PersonX gets PersonY's phone number
PersonX does not slap PersonY,PersonX slaps PersonY
PersonX does not stalk PersonY,PersonX stalks PersonY
PersonX does not want PersonY to go,PersonX wants PersonY to go
PersonX does not get PersonY's tree,PersonX gets PersonY's tree
PersonX does not call PersonY tomorrow,PersonX calls PersonY tomorrow
PersonX does not texts PersonY back,PersonX texts PersonY back
PersonX does not call all PersonX's friends,PersonX calls all PersonX's friends
PersonX does not give PersonY PersonX's hand,PersonX gives PersonY PersonX's hand
PersonX does not find PersonY's phone,PersonX finds PersonY's phone
PersonX does not camp with PersonY's friends,PersonX camps with PersonY's friends
PersonX does not give PersonY a huge hug,PersonX gives PersonY a huge hug
PersonX does not talk to PersonY's parents,PersonX talks to PersonY's parents
PersonX did not fix PersonY's tire,PersonX fixes PersonY's tire
PersonX does not say hi to PersonY,PersonX says hi to PersonY
PersonX does not clean PersonY,PersonX cleans PersonY
PersonX does not give PersonY opportunity,PersonX gives PersonY opportunity
PersonX does not fly to PersonY,PersonX flies to PersonY
PersonX does not tell PersonY's mom,PersonX tells PersonY's mom
PersonX does not run away from home,PersonX runs away from home
PersonX does not convince PersonY otherwise,PersonX convinces PersonY otherwise
PersonX does not visit PersonY at work,PersonX visits PersonY at work
PersonX does not cook chicken,PersonX cooks chicken
PersonX does not tell jokes,PersonX tells jokes
PersonX does not forgive PersonY,PersonX forgives PersonY
PersonX does not shave PersonY's head,PersonX shaves PersonY's head
PersonX does not give PersonY something,PersonX gives PersonY something
PersonX does not date for five years,PersonX dates for five years
PersonX does not arrest PersonY,PersonX arrests PersonY
PersonX does not gather PersonX's friends,PersonX gathers PersonX's friends
PersonX does not shake hands with the unemployed,PersonX shakes hands with the unemployed
PersonX does not tease PersonY,PersonX teases PersonY
PersonX does not go fishing with PersonX's friends,PersonX goes fishing with PersonX's friends
PersonX does not thank PersonY for coming,PersonX thanks PersonY for coming
PersonX does not gaze into PersonY's eyes,PersonX gazes into PersonY's eyes
PersonX does not ask PersonY on a date,PersonX asks PersonY on a date
PersonX does not decide to cook dinner,PersonX decides to cook dinner
PersonX does not sign PersonY up for lessons,PersonX signs PersonY up for lessons
PersonX does not go fishing with PersonX's grandfather,PersonX goes fishing with PersonX's grandfather
PersonX does not travel with PersonY,PersonX travels with PersonY
PersonX does not bake a cake for PersonY,PersonX bakes a cake for PersonY
PersonX does not get PersonY a great gift,PersonX gets PersonY a great gift
PersonX does not decide to go camping,PersonX decides to go camping
PersonX does not wash PersonY hands,PersonX washes PersonY hands
PersonX does not decide to have a yard sale,PersonX decides to have a yard sale
PersonX does not become PersonY friend,PersonX becomes PersonY friend
PersonX does not serve it to PersonY,PersonX serves it to PersonY
PersonX does not get PersonY attention,PersonX gets PersonY attention
PersonX does not see PersonY often,PersonX sees PersonY often
PersonX does not take PersonY to the doctor,PersonX takes PersonY to the doctor
PersonX does not go fishing with my dad,PersonX goes fishing with my dad
PersonX does not decide to help PersonY out,PersonX decides to help PersonY out
PersonX does not call home,PersonX calls home
PersonX does not do whatever PersonY wanted,PersonX does whatever PersonY wanted
PersonX does not write PersonY a note,PersonX writes PersonY a note
PersonX does not go to the bar with PersonX's friends,PersonX goes to the bar with PersonX's friends
PersonX does not challenge PersonY's brother,PersonX challenges PersonY's brother
PersonX does not eat with PersonX's friends,PersonX eats with PersonX's friends
PersonX does not enter PersonY house,PersonX enters PersonY house
PersonX does not go to the beach with PersonX's friends,PersonX goes to the beach with PersonX's friends
PersonX does not take PersonY to a movie,PersonX takes PersonY to a movie
PersonX does not get PersonY's father,PersonX gets PersonY's father
PersonX does not teach PersonX's son,PersonX teaches PersonX's son
PersonX does not encourage PersonY,PersonX encourages PersonY
PersonX does not examine PersonY closely,PersonX examines PersonY closely
PersonX does not throw PersonY out,PersonX throws PersonY out
PersonX does not hang up on PersonY,PersonX hangs up on PersonY
PersonX does not save PersonY the trouble,PersonX saves PersonY the trouble
PersonX does not fall in love with PersonY,PersonX falls in love with PersonY
PersonX does not get PersonY's things together,PersonX gets PersonY's things together
PersonX did not fix PersonY's hair,PersonX fixes PersonY's hair
PersonX does not have a snowball fight,PersonX has a snowball fight
PersonX does not visit PersonY's parents,PersonX visits PersonY's parents
PersonX does not get what PersonY needed,PersonX gets what PersonY needed
PersonX did not also ask PersonY,PersonX also asked PersonY
PersonX does not get PersonX's son,PersonX gets PersonX's son
PersonX does not help PersonY's plant,PersonX helps PersonY's plant
PersonX does not give PersonY a ride home,PersonX gives PersonY a ride home
PersonX does not fight PersonY after school,PersonX fights PersonY after school
PersonX does not give PersonY a ticket,PersonX gives PersonY a ticket
PersonX does not answer PersonY,PersonX answers PersonY
PersonX does not take guitar lessons,PersonX takes guitar lessons
PersonX does not help others,PersonX helps others
PersonX does not give PersonY a shake,PersonX gives PersonY a shake
PersonX does not fill PersonY's heart,PersonX fills PersonY's heart
PersonX does not give PersonY knowledge,PersonX gives PersonY knowledge
PersonX does not ask PersonX's kids,PersonX asks PersonX's kids
PersonX does not say anything to PersonY,PersonX says anything to PersonY
PersonX does not give PersonY gifts,PersonX gives PersonY gifts
PersonX does not find PersonX's mother,PersonX finds PersonX's mother
PersonX does not ask PersonY to dance,PersonX asks PersonY to dance
PersonX does not give PersonY trouble,PersonX gives PersonY trouble
PersonX does not train PersonY's dog,PersonX trains PersonY's dog
PersonX does not ask PersonY what PersonZ was doing,PersonX asks PersonY what PersonZ was doing
PersonX does not give PersonY idea,PersonX gives PersonY idea
PersonX does not forge PersonY alliance,PersonX forges PersonY alliance
PersonX does not go out with PersonY,PersonX goes out with PersonY
PersonX does not take part in the battle,PersonX takes part in the battle
PersonX does not fulfill PersonY's obligations,PersonX fulfills PersonY's obligations
PersonX did not grab PersonY's hand,PersonX grabs PersonY's hand
PersonX does not ask PersonY why,PersonX asks PersonY why
PersonX does not invite PersonY's friends over,PersonX invites PersonY's friends over
PersonX does not get PersonX's friends together,PersonX gets PersonX's friends together
PersonX does not tell PersonY's parents,PersonX tells PersonY's parents
PersonX does not attend the concert,PersonX attends the concert
PersonX does not hurt PersonY's arm,PersonX hurts PersonY's arm
PersonX does not get PersonY a gift,PersonX gets PersonY a gift
PersonX does not invite all of PersonY's friends,PersonX invites all of PersonY's friends
PersonX does not go fishing with PersonY's father,PersonX goes fishing with PersonY's father
PersonX does not see an old friend,PersonX sees an old friend
PersonX does not introduce PersonY to the cool kids,PersonX introduces PersonY to the cool kids
PersonX does not bake cookies for PersonY,PersonX bakes cookies for PersonY
PersonX does not get PersonY's money back,PersonX gets PersonY's money back
PersonX does not go swimming with friends,PersonX goes swimming with friends
PersonX is not cheating on PersonY,PersonX is cheating on PersonY
PersonX does not take PersonX's hand in PersonZ's,PersonX takes PersonX's hand in PersonZ's
PersonX does not invite PersonY over for dinner,PersonX invites PersonY over for dinner
PersonX does not get all PersonX's friends together,PersonX gets all PersonX's friends together
PersonX is not playing football with PersonX's friends,PersonX is playing football with PersonX's friends
PersonX does not tell PersonY to call,PersonX tells PersonY to call
PersonX is not camping with PersonX's friends,PersonX is camping with PersonX's friends
PersonX does not keep PersonY close,PersonX keeps PersonY close
PersonX does not go to the beach with PersonY's friends,PersonX goes to the beach with PersonY's friends
PersonX does not get back to normal,PersonX gets back to normal
PersonX does not set sail for PersonY,PersonX sets sail for PersonY
PersonX does not get hold of PersonY,PersonX gets hold of PersonY
PersonX does not kick PersonY when they are down,PersonX kicks PersonY when they are down
PersonX does not grease PersonY's palm,PersonX greases PersonY's palm
PersonX does not give PersonX's money,PersonX gives PersonX's money
PersonX does not spank PersonY,PersonX spanks PersonY
PersonX does not kill PersonY animal,PersonX kills PersonY animal
PersonX does not give PersonY a bonus,PersonX gives PersonY a bonus
PersonX does not beat PersonY up,PersonX beats PersonY up
PersonX is not very mean to PersonY,PersonX is very mean to PersonY
PersonX does not grill PersonY,PersonX grills PersonY
PersonX does not make PersonY a gift,PersonX makes PersonY a gift
PersonX does not write PersonY,PersonX writes PersonY
PersonX does not become friends with PersonY,PersonX becomes friends with PersonY
PersonX does not give PersonY a life,PersonX gives PersonY a life
PersonX does not marry for 20 years,PersonX marries for 20 years
PersonX did not texts PersonY's husband,PersonX texts PersonY's husband
PersonX does not have a new friend,PersonX has a new friend
PersonX does not give PersonY a message,PersonX gives PersonY a message
PersonX does not paint my nails yesterday,PersonX paints my nails yesterday
PersonX does not break PersonX's lance,PersonX breaks PersonX's lance
PersonX does not want to take a vacation,PersonX wants to take a vacation
PersonX does not give PersonY a sign,PersonX gives PersonY a sign
PersonX does not join PersonY for dinner,PersonX joins PersonY for dinner
