event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX is not good at lying.,"[""none"", ""learns the truth"", ""gains information""]","[""betrayed"", ""ashamed of person x"", ""none""]","[""none""]","[""WORST"", ""WEAK"", ""truthful"", ""honest"", ""sincere""]","[""none"", ""gets told not to lie"", ""gets forced to tell the truth""]","[""none""]","[""none""]","[""guilty"", ""embarrassed"", ""shy"", ""timid""]","[""to tell the truth"", ""to listen"", ""to be honest"", ""to be a better person""]",trn,PersonX sells ice to eskimos
PersonX can't remember PersonY from others,"[""none""]","[""slighted"", ""ignored"", ""concerned"", ""upset""]","[""none""]","[""forgetful"", ""perplexed"", ""confused"", ""disoriented""]","[""Scolded by personY"", ""Loses a friend"", ""Is regretful"", ""Can't remember""]","[""none""]","[""none"", ""to be a friend"", ""to buy a bicycle""]","[""confused"", ""unaware"", ""absent minded"", ""worried""]","[""ask"", ""talk"", ""to try to remember"", ""to find person x's friend""]",trn,PersonX distinguishes PersonY from others
PersonX does not impress PersonY,"[""is unimpress"", ""is reluctant to speak to PersonX"", ""gets told they're ugly"", ""gets told they will never find someone as good at them"", ""laughs"", ""smiles"", ""frowns"", ""cries""]","[""unimpressed"", ""disappointed"", ""uninterested"", ""none"", ""annoyed""]","[""look for other people"", ""get back to work"", ""give PersonX feedback"", ""encourage PersonX to do better"", ""none"", ""to look elsewhere"", ""to leave because of boredom""]","[""boring"", ""bland"", ""unimpressive"", ""dull"", ""pitiful"", ""incompetent"", ""mediocre""]","[""none"", ""gets dumped by personY"", ""gets told they're a lousy boyfriend"", ""gets humiliated"", ""gets insulted"", ""frowned at"", ""yelled at""]","[""none""]","[""none"", ""to know PersonY"", ""to be lacking in PersonY's estimation""]","[""embarrassed"", ""untalented"", ""rejected"", ""disappointed"", ""unappreciated"", ""undervalued"", ""sad""]","[""go back to work"", ""figure out how to do better"", ""to be embarrassed"", ""to try to better themselves"", ""withdraw"", ""impress PersonY"", ""to contemplate their next move"", ""to practice for another try""]",trn,PersonX takes PersonY breath away
Person X doesn't drive,"[""none""]","[""none""]","[""none""]","[""scared"", ""afraid"", ""hesitant"", ""insecure"", ""undetermined""]","[""none""]","[""none"", ""to take public transportation instead"", ""to avoid getting a driver's license""]","[""none""]","[""careful"", ""true to oneself"", ""dependent on others"", ""relieved""]","[""to take driving classes"", ""to ride the bus"", ""call a taxi"", ""go to work""]",trn,PersonX is on a long road trip
PersonX is not the father,"[""none""]","[""none""]","[""none""]","[""free"", ""uninvloved"", ""untroubled"", ""undisturbed""]","[""falls to the floor with despair"", ""jumps up in the air"", ""Nods slowly"", ""none""]","[""none""]","[""none"", ""to be older than 18"", ""to plan to marry""]","[""confused"", ""unsatisfied"", ""sad"", ""devastated""]","[""to celebrate"", ""to mourn"", ""to sleep"", ""to have a bath""]",trn,PersonX becomes a father
PersonX doesn't speak with PersonY anymore.,"[""none""]","[""none""]","[""none"", ""receive an explanation"", ""speak with personX""]","[""petty"", ""stubborn"", ""out of touch"", ""lonely""]","[""gets shunned from their social circle"", ""becomes the subject of vicious rumors"", ""none""]","[""none""]","[""to talk to person y"", ""to fight with person y"", ""have previously spoken with personY"", ""decide not to speak to personY""]","[""sad"", ""irresponsible"", ""unhappy""]","[""to meet person y"", ""to solve the problem"", ""offer an explanation"", ""avoid personY""]",trn,PersonX drops PersonY a line
Person Y does not care about Person X,"[""none""]","[""none""]","[""none"", ""to keep ignoring person x"", ""to do something to hurt person x""]","[""unfriendly"", ""hostile"", ""selfish"", ""rude""]","[""none""]","[""none""]","[""to live lonely"", ""to get some friends"", ""none""]","[""unwanted"", ""rejected"", ""uncaring"", ""rude""]","[""to learn cooking"", ""to clean the clothes"", ""go somewhere away from person y"", ""do another activity with someone else""]",trn,PersonX gets PersonY thinking
PersonX does not bring a gift to the party for PersonY,"[""unappreciative"", ""not grateful"", ""none""]","[""none""]","[""receive an apology"", ""receive a gift"", ""none""]","[""miserly"", ""withholding"", ""ungenerous"", ""inconsiderate"", ""thoughtless"", ""rude"", ""impolite""]","[""is unappreciated"", ""is not thanked"", ""none""]","[""to look bad"", ""to be different"", ""none""]","[""go to the party"", ""refrain from getting a gift"", ""none""]","[""unusual"", ""different"", ""MEAN"", ""SAD""]","[""apologize"", ""bring a gift to personY later"", ""not spend money"", ""not be bothered""]",trn,PersonX buys PersonY's flowers
PersonX doesn't care about PersonY,"[""none""]","[""hurt"", ""damaged"", ""none""]","[""none""]","[""heartless"", ""callous"", ""cold""]","[""none"", ""feel lonely"", ""Stay at home""]","[""person y to suffer"", ""person y to fail in some way"", ""none""]","[""none""]","[""callous"", ""punishing"", ""creless"", ""selfish""]","[""divorce Y"", ""SLAP Y"", ""to go out"", ""the key of the home""]",trn,PersonX keeps PersonY in order
PersonX does not like anyone,"[""gets ignored"", ""gets made fun of"", ""none""]","[""none""]","[""to stay away from personX"", ""to ask personX why they feel that way"", ""none""]","[""antisocial"", ""misanthropic"", ""selfish"", ""angry""]","[""has no friends"", ""gets gossiped about"", ""none""]","[""to be left alone"", ""to not develop attachments to anyone"", ""to be mean"", ""have no friends"", ""not get close""]","[""none""]","[""stubborn"", ""isolated"", ""misanthropic"", ""mean"", ""rude""]","[""to spend time alone"", ""to become friends with people"", ""to be a hermit"", ""to live alone""]",trn,PersonX has a crush on a girl named PersonY
PersonX doesn't knock PersonY down,"[""smirks"", ""laughs"", ""none""]","[""unsatisfied"", ""scared"", ""none""]","[""none""]","[""polite"", ""good sportsman"", ""careful"", ""non-violent""]","[""gets punched"", ""bleeds"", ""none""]","[""persony to be tough"", ""persony to fight back"", ""none""]","[""none""]","[""excited"", ""energetic"", ""angry"", ""forgiving""]","[""to be good"", ""to be helpful"", ""to forgive them"", ""make them strong""]",trn,PersonX knocks PersonY down
PersonX doesn't speak with PersonY,"[""gets ignored"", ""loses confidence"", ""none""]","[""none"", ""confused"", ""worried""]","[""none""]","[""indifferent"", ""intractable"", ""Rude"", ""Unfriendly""]","[""gets approached"", ""is ignored"", ""loses a friend"", ""is left alone""]","[""none"", ""to give the cold shoulder"", ""to avoid personY""]","[""none""]","[""sad"", ""lonely"", ""angry""]","[""to stay at home"", ""to cry loud"", ""continue to ignore"", ""find someone else to talk to""]",trn,PersonX gives PersonY thanks
PersonX doesn't touch PersonY's test,"[""none""]","[""pleased"", ""satisfied"", ""none""]","[""none""]","[""Respectful"", ""Smart"", ""Honorable"", ""apprehensive"", ""afraid""]","[""none"", ""sweats from nerves"", ""life flashes before his eyes""]","[""to show respect"", ""to do his own work"", ""to stay honest"", ""to avoid getting in trouble""]","[""none""]","[""principled"", ""guided"", ""calm"", ""relaxed""]","[""to study well"", ""to prepare for the test"", ""THEM TO PASS ON THEIR OWN"", ""to be alone""]",trn,PersonX makes an a on PersonY's test
PersonX can't perform PersonX's ability,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""inadept"", ""failing"", ""not being consistent""]","[""gets insulted"", ""is scolded"", ""none""]","[""none""]","[""none"", ""to not practice enough"", ""to stop trying""]","[""incapable"", ""stupid"", ""strong"", ""happy""]","[""to practice"", ""avoid the activity"", ""to get better"", ""to give something up""]",trn,PersonX demonstrates PersonX's ability
PersonX does not give PersonX's best attempt at it,"[""none""]","[""none""]","[""none""]","[""a quitter"", ""unmotivated"", ""apathetic"", ""lazy""]","[""fails st something"", ""gets yelled at"", ""fails at their task"", ""doesn't accomplish anything""]","[""to go do something else"", ""to have the responsibilty removed from them"", ""to fail"", ""to take it easy""]","[""to join the activity"", ""to pick up the equipment"", ""none""]","[""irritated"", ""dissatisfied"", ""regret"", ""lazy""]","[""to take a break"", ""to quit"", ""to try again"", ""to redouble their efforts""]",trn,PersonX tries PersonY's best
PersonX doesn't say PersonY's name,"[""none""]","[""none"", ""disappointed"", ""sad""]","[""none""]","[""quient"", ""reserved"", ""forgetful"", ""puzzled""]","[""get's yelled at"", ""get's corrected"", ""none""]","[""to pretend personY doesn't excist"", ""to avoid getting personY's attention"", ""to forget persony"", ""nothing to do with persony""]","[""none""]","[""anxious"", ""afraid of personY"", ""sad"", ""lonely""]","[""to be arrogant"", ""to be selfish"", ""to be quiet"", ""to remain alone""]",trn,PersonX says PersonY's name
PersonX mind can't stop racing,"[""none""]","[""none""]","[""none""]","[""confused"", ""anxious"", ""scared"", ""hot-tempered""]","[""none""]","[""none""]","[""none""]","[""nervous"", ""scared"", ""Exhausted"", ""Frustrated""]","[""to relax"", ""to be calm"", ""to take medication"", ""to smoke marijuana""]",trn,PersonX gets PersonY's mind off it
PersonX does not introduce PersonX to PersonY,"[""none""]","[""Alone"", ""Rejected"", ""confused"", ""nervous""]","[""none"", ""receive an explanation"", ""be introduced""]","[""unfriendly"", ""mannerless"", ""careless"", ""thoughtless""]","[""none""]","[""To be alone"", ""Doesn't like personY"", ""to stay away from persony"", ""persony to leave""]","[""to stay home alone"", ""to ignore his friends"", ""none""]","[""Content"", ""Lonely"", ""Distant"", ""shy"", ""nervous""]","[""take a nap"", ""hide from people"", ""avoid introductions"", ""explain""]",trn,PersonX takes PersonX to PersonY
PersonX can't wait for the date,"[""none""]","[""none""]","[""none""]","[""eager"", ""impatient"", ""excitable""]","[""PersonX has a great time"", ""PersonX makes a fool of themselves"", ""trembles in anticipation"", ""paces the floor from nervous energy""]","[""none""]","[""to freshen up"", ""to put on makeup"", ""to take a shower"", ""to plan for a date"", ""to clean the room""]","[""anxious"", ""happy"", ""excited""]","[""to go to the movies"", ""to go out to dinner"", ""to fix the bike"", ""to wash  clothes""]",trn,PersonX cancels the date
PersonX doesn't tell PersonX's friend about the event,"[""none""]","[""none""]","[""none"", ""receive an explanation"", ""be informed""]","[""cruel"", ""mean"", ""forgetful"", ""inattentive""]","[""none""]","[""none"", ""keep a secret"", ""not to share the story""]","[""none"", ""know about an event"", ""decide to keep it a secret""]","[""forgetful"", ""careless"", ""indifferent"", ""unbothered""]","[""to go alone"", ""to study well"", ""keep the secret"", ""go to the event alone""]",trn,PersonX invites PersonX's friend
PersonX doesn't like PersonX's grandmother and won't go to her house,"[""is curious about personX"", ""is comforted by other grandkids"", ""none""]","[""hurt"", ""angry"", ""annoyed"", ""rejected""]","[""offer an invitation"", ""see personX"", ""to see PersonX"", ""to know why PersonX is avoiding them""]","[""stand offish"", ""stubborn"", ""dismissive"", ""discourteous""]","[""none""]","[""none"", ""to avoid their grandma"", ""to stay home""]","[""get to know the grandmother"", ""avoid the house"", ""none""]","[""unwelcome"", ""lost"", ""relieved"", ""like they took a stand""]","[""make up"", ""go to the house"", ""to avoid their grandmother"", ""to not accept invitations to their grandmother's house""]",trn,PersonX goes to PersonX's grandmother's house
PersonX does not pay any of PersonY's bills,"[""none""]","[""abandoned"", ""upset they'll have to get a job"", ""disappointed"", ""responsible""]","[""To find alternative ways to pay the bills"", ""To try to borrow the money from someone"", ""none""]","[""ungenerous"", ""selfish"", ""undisciplined"", ""forgetful""]","[""none"", ""saves the money"", ""gives the money to charity""]","[""to teach them to be responsible"", ""to not go further into debt"", ""to stop bailing them out"", ""to keep the money"", ""persony to pay everything""]","[""none""]","[""frustrated that they won't get a job"", ""worried about cutting them off"", ""bothered"", ""annoyed""]","[""to reflect on the decision"", ""to live with the decision"", ""to clear the bill"", ""to be honest""]",trn,PersonX pays all of PersonY's bills
PersonX does not go the mall with PersonY's mom,"[""none"", ""goes alone"", ""spends money""]","[""rejected"", ""unliked"", ""none""]","[""make plans for another time"", ""go to the mall alone"", ""to confront personx"", ""to yell at personx""]","[""reserved"", ""quiet"", ""introverted"", ""reluctant""]","[""none"", ""saves money"", ""spends time alone""]","[""to get work done"", ""to spend time with someone else"", ""none""]","[""none""]","[""guilty"", ""independent"", ""rude"", ""uncaring""]","[""stay home"", ""avoid spending money"", ""to avoid conflict"", ""to avoid a boring day""]",trn,PersonX goes to the mall with PersonY's mom
Person does not ask PersonY,"[""none""]","[""none""]","[""none""]","[""knowing"", ""unwilling to accept help"", ""uninquisitive"", ""independent""]","[""none""]","[""none""]","[""to see person y"", ""to talk to person y"", ""to know personY"", ""to have a question for PersonY""]","[""cam"", ""reflective"", ""unanswerable"", ""ignored""]","[""to be alone"", ""to sleep"", ""to figure it out on their own"", ""to get help elsewhere""]",trn,PersonX also asked PersonY
