event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX bows PersonX's heads,"[""none""]","[""none""]","[""walks away"", ""none"", ""to pray"", ""thanks them"", ""to bow back""]",tst,"[""reverent"", ""polite"", ""cautious"", ""thoughtful"", ""respectful"", ""drowsy"", ""submissive"", ""sleepy""]","[""bends its neck"", ""sees its toes"", ""gives thanks for family"", ""gets greeted"", ""gets gratitude"", ""prays to god"", ""gets red face""]","[""to show respect"", ""show gratefulness"", ""show respect"", ""to show solemnity""]","[""finds person"", ""none"", ""to approach someone"", ""to spot someone"", ""gets dresssed""]","[""dignified"", ""respectful"", ""subordinate"", ""earnest""]","[""to show respect to authority"", ""walks away"", ""to pray"", ""to raise his head again"", ""to express respect"", ""goes home""]"
PersonX feels ashamed,"[""become disappointed in PersonY"", ""forgive""]","[""none"", ""angry, cause he needs for nothing""]","[""none""]",tst,"[""guilty"", ""regretful"", ""humble"", ""immature"", ""embarrassed"", ""distressed"", ""submissive"", ""miserable""]","[""becomes apologetic"", ""avoids his friends""]","[""none"", ""got caught stealing from his parents""]","[""none""]","[""unloved."", ""upset"", ""remorseful"", ""embarrased.""]","[""to go home"", ""to repent for what they did"", ""to feel better"", ""leave"", ""apologize"", ""to apologize""]"
PersonX makes PersonY connection,"[""none"", ""Learns to trust someone"", ""sighs in relief"", ""Learns to communicate"", ""makes it to destination""]","[""happy also.""]","[""none""]",tst,"[""friendly"", ""brilliant"", ""intelligent"", ""social""]","[""is hugged"", ""none"", ""Learns to trust someone"", ""is thanked"", ""Learns to communicate""]","[""to have a network of friends""]","[""none""]","[""happy.""]","[""to socialize with Z who"", ""to socialize with y"", ""to make another connection"", ""s Y's close friend"", ""to get something in return""]"
PersonX cries tears of joy,"[""none""]","[""none"", ""wanted.""]","[""none""]",tst,"[""transparent"", ""moved"", ""emotional"", ""relieved"", ""happy"", ""joyful"", ""enthusiastic""]","[""gets comforted by others"", ""thinks about how relieved they are""]","[""none""]","[""none"", ""to be joyful"", ""to be happy""]","[""so loved and happy."", ""happy""]","[""to be happy"", ""for others to share their joy"", ""to believe what just happened"", ""to express their happiness""]"
PersonX runs some errands,"[""none""]","[""satisfied"", ""none""]","[""none"", ""to thank him"", ""to offer money for him""]",tst,"[""energetic"", ""Responsible"", ""Active"", ""successful"", ""helpful"", ""diligent""]","[""PersonX checks off their to-do list"", ""inpuru nalage"", ""feel bad"", ""PersonX accomplishes everything required""]","[""to get things done to have free time later"", ""to take care of priorities"", ""to complete some work""]","[""to get in the car"", ""none"", ""to put on his shoes"", ""to leave the house"", ""take a bag""]","[""accomplished"", ""happy"", ""like they are getting things done""]","[""to do more errands"", ""to go home"", ""to rest after a long day"", ""to offer the food he has bought for them"", ""to be productive"", ""to relax"", ""to help his parents""]"
PersonX passes ___ around,"[""none"", ""becomes grateful to PersonX"", ""smiles""]","[""grateful"", ""thankful""]","[""none"", ""to receive it"", ""to eat food"", ""to have a nice dinner"", ""to interact with it"", ""to pass it on""]",tst,"[""Overwhelmed"", ""Frightened"", ""generous"", ""sharing"", ""open""]","[""practicing driving"", ""go for swimming"", ""is questioned by authorities as to where they got the drugs"", ""go for movie"", ""is thanked"", ""meet parents""]","[""to share"", ""to be helpful""]","[""to be with other people"", ""to find paper"", ""to interact with it"", ""to write a note out"", ""to extend his arms"", ""to get it""]","[""indifferent"", ""generous""]","[""to talk to his friends"", ""to eat the food"", ""to move on to something else"", ""to read the response"", ""to make sure it gets to the next person"", ""to get the note back""]"
PersonX decides to have a picnic,"[""none""]","[""none"", ""happy for this great event""]","[""none""]",tst,"[""nature loving"", ""relaxed"", ""Outgoing"", ""fun"", ""Social"", ""adventurous""]","[""smiles at the thought of the picnic"", ""gets stung"", ""gets to enjoy nature"", ""gets entertained"", ""thinks about what to bring to the picnic"", ""gets a burn""]","[""to bond with church members"", ""to have a good time"", ""to enjoy lunch outside""]","[""Go to the park"", ""none"", ""make some sandwiches"", ""invite friends over"", ""Set up supplies""]","[""refreshed"", ""relaxed"", ""a closer connection to the church body""]","[""go for a picnic"", ""hang out in the park"", ""Clean up"", ""have fun"", ""Invite friends"", ""eat the good food""]"
PersonX rushes to school,"[""none""]","[""they don't want to see their friend get in trouble if late."", ""none""]","[""none""]",tst,"[""careless"", ""fast"", ""reckless"", ""lazy"", ""nervous""]","[""they receive a tardy slip"", ""studies"", ""they are breathing heavily for rushing"", ""gets out of the bus""]","[""to be on time for the test"", ""to be on time"", ""to make sure they aren't late.""]","[""to eat breakfast"", ""to grab their back pack"", ""packs a school bag"", ""to get dressed"", ""gets in the car""]","[""rushed because he is late"", ""late"", ""relieved to have made it on time."", ""rushed""]","[""to study"", ""to sit at their desk"", ""to get out their homework"", ""to enter school""]"
PersonX writes poetry,"[""none""]","[""none""]","[""none"", ""to read the poetry"", ""to critique the poetry""]",tst,"[""Creative"", ""creative"", ""curious"", ""Artistic"", ""expressive""]","[""Expends brain power"", ""is asked for advice"", ""gets published"", ""Makes words on page""]","[""to be artsy"", ""to be creative""]","[""to buy a pen and writing pad"", ""to write down what comes into their head"", ""to decide on a topic"", ""to start writing"", ""to sit somewhere quietly to contemplate""]","[""more educated"", ""artistic"", ""more in touch with their feelings"", ""more creative""]","[""to publish the poetry"", ""to recite their poetry to family"", ""to share their poetry online"", ""to try to get their poetry published"", ""to show the poetry to others""]"
PersonX looks like a man,"[""none""]","[""understanding"", ""attracted"", ""none"", ""indifferent""]","[""none""]",tst,"[""glad"", ""manly"", ""masculine"", ""self-conscious""]","[""none""]","[""to look like a man"", ""none"", ""not to look feminine"", ""to be a man""]","[""to cut their hair short"", ""to build muscles"", ""grow a beard"", ""none"", ""to dress masculine"", ""to wear a mask""]","[""satisfied"", ""included"", ""good"", ""like a man""]","[""to con people"", ""to act appropriate"", ""to just be normal"", ""to ask women out"", ""to prove they are feminine"", ""to buy more dresses""]"
PersonX bestows upon PersonY,"[""improves condition"", ""gets more respect""]","[""none""]","[""to accept"", ""to show gratitude"", ""give thanks"", ""to honor"", ""to acknowledge"", ""to laud"", ""return the favor""]",tst,"[""Giving"", ""grateful"", ""accepting"", ""doesn't make sense"", ""Conceding""]","[""none""]","[""to be bestows""]","[""something to bestow"", ""to win a prize"", ""have something to bestow"", ""to perform a brave deed"", ""decide to bestow something on the person"", ""to be with PersonY""]","[""happy""]","[""to show generosity"", ""be thanked"", ""recognition"", ""have the favor returned"", ""to make PersonY happy"", ""honor""]"
PersonX gives PersonX's all,"[""Loses out to X"", ""Get a bigger challenge then expected from X"", ""none""]","[""none""]","[""none"", ""to thank PersonX"", ""to win"", ""to encourage them to always work as hard"", ""to be better than PersonX""]",tst,"[""motivated"", ""determined"", ""courageous"", ""dedicated""]","[""Makes the team"", ""grows stronger"", ""Still gets cut"", ""PersonX has nothing left"", ""PersonX collapses in exhaustion"", ""achieves better results""]","[""to make sure something happens"", ""to feel successful""]","[""to prepare to be completely involved"", ""to psych themselves up."", ""to get a good night's rest."", ""to be aware of what is required"", ""none""]","[""pleased"", ""happy"", ""drained"", ""accomplished""]","[""to rest."", ""to be successful in their endeavor"", ""to enjoy the fruits of their labor."", ""to win"", ""to do their best"", ""to have worked as hard as possible""]"
PersonX throws the food,"[""none"", ""People wonder why X threw the food."", ""People duck away from the food.""]","[""none"", ""irritated"", ""humiliated""]","[""none""]",tst,"[""aggressive"", ""childish"", ""wasteful"", ""messy""]","[""Person X looks to see where the food went."", ""Gets yelled at"", ""Person X shows anger."", ""makes a mess"", ""Is given something else to eat"", ""puts hands down""]","[""to humiliate the server"", ""to show disatisfaction"", ""to start a food fight""]","[""to get some food."", ""none"", ""to pick up the food.""]","[""angry"", ""disgusted"", ""mischievous"", ""powerful""]","[""to eat some of the food."", ""wash and dry hands"", ""drink some water"", ""to throw more food.""]"
PersonX peers inside,"[""none""]","[""none"", ""afraid""]","[""none""]",tst,"[""nosy"", ""curious"", ""sneeky"", ""observant""]","[""catches a glimpse of something"", ""is surprised"", ""witnesses a murder"", ""sees something unexpected"", ""is shooed away"", ""cannot see anything""]","[""to see whats there"", ""wants to see"", ""to see what's going on""]","[""get up"", ""shoes"", ""to open their eyes"", ""to move their head close to the window"", ""to be looking for someone"", ""to be house hunting""]","[""sneaky"", ""curious"", ""creepy"", ""concerned""]","[""to watch a movie"", ""to ask the price of the house"", ""see what is in there"", ""to look at everything"", ""leave"", ""to go inside"", ""to find his mom""]"
PersonX loses twenty pounds,"[""none"", ""the family is surprised"", ""more people get into the elevator""]","[""none""]","[""none"", ""PersonX to do well"", ""the best life for PersonX""]",tst,"[""motivated"", ""healthy"", ""determined"", ""proud"", ""hard-working""]","[""looses another 5"", ""He is healthy"", ""His clothes doesn't fit"", ""gains 25 pounds back""]","[""to look better"", ""none"", ""to be healthy""]","[""to watch what they eat"", ""a diet plan"", ""excersice"", ""to get some exercise"", ""an exercise regimen"", ""eat better""]","[""unhappy and miserable."", ""attractive"", ""proud"", ""healthier""]","[""attention"", ""eat something tasty"", ""work out more"", ""wear tight clothing"", ""get new clothes"", ""respect""]"
PersonX feels embarrassed,"[""none""]","[""none""]","[""to gossip about PersonX"", ""to apologize to PersonX"", ""to laugh"", ""to tell PersonX it is okay""]",tst,"[""ashamed"", ""regretful"", ""well mannered"", ""emotional"", ""abashed"", ""self conscious""]","[""becomes apologetic"", ""blushes"", ""application form"", ""wants to hide"", ""sduty"", ""cringes""]","[""none""]","[""to carry out a task poorly"", ""to say something ridiculous"", ""to do something bad"", ""to be in an awkward situation"", ""to do something dumb""]","[""bad"", ""ashamed"", ""embarrassed"", ""stupid"", ""upset""]","[""to make amends"", ""to improve their confidence"", ""to hide"", ""to cry"", ""to run away""]"
PersonX grants a ___ by the ccc,"[""WAITING TO GET"", ""none"", ""NONE""]","[""gracious"", ""satisfied also"", ""helpful to personx""]","[""Be well known"", ""to drive"", ""go get something"", ""none"", ""To operate legally""]",tst,"[""faithful"", ""chargeful"", ""intent"", ""loyal""]","[""NONE"", ""none"", ""HAVING RESPONSIBILITY""]","[""to give something"", ""have something"", ""to do something better"", ""to give it out.""]","[""none"", ""TO analyze the company"", ""Review application"", ""To review the company"", ""know the rules"", ""be in charge"", ""fill forms"", ""have the job"", ""Grant license""]","[""happy they've obtained a license"", ""satisfied"", ""philanthropic""]","[""to talk to the next customer"", ""Review license info"", ""Print license"", ""go home"", ""TO make the right choice"", ""To keep the company regulated""]"
PersonX links the ___ together,"[""none""]","[""none""]",[],tst,"[""Intelligent"", ""intelligent"", ""Smart"", ""aware"", ""skilled""]","[""Person x completes a task"", ""checks progress"", ""takes a rest"", ""paints their creation"", ""Person x is able to move on to next step ans make progress"", ""finishes building""]","[""to bring two things together""]",[],"[""accomplished""]",[]
