event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX barely ever throws food,"[""none""]","[""none""]","[""none""]","[""prudent"", ""careful"", ""responsible"", ""cautious""]","[""none"", ""get a work done""]","[""none""]","[""throw food sometimes"", ""mind their manners often"", ""to have food"", ""to be hungry"", ""none""]","[""well-behaved"", ""sophisticated"", ""classy"", ""polite"", ""moral"", ""well mannered""]","[""have a food fight"", ""tell someone about the damage"", ""to store the food"", ""to give to the needy"", ""to savor it"", ""not waste morsels""]",tst,PersonX throws food,barely ever,multi_word
PersonX under no circumstances tells PersonY must be,"[""get a money"", ""none""]","[""invisible"", ""separate"", ""free"", ""relieved"", ""respected"", ""relaxed""]","[""none""]","[""forgiving"", ""permissive"", ""polite"", ""mannerly""]","[""get a money"", ""none"", ""he give good information to other"", ""he make all her work done perfect""]","[""none"", ""to be considerate"", ""to not force others to do things""]","[""none""]","[""distant"", ""uninvolved"", ""considerate"", ""independent"", ""smug"", ""proud""]","[""to remind them"", ""make them work"", ""to get work done"", ""to let them be"", ""to leave the scene""]",tst,PersonX tells PersonY must be,under no circumstances,multi_word
PersonX has problem with sending PersonY home,"[""none""]","[""none""]","[""none"", ""go home"", ""take a break"", ""to stay together"", ""to be where they belong""]","[""rambly"", ""talkative"", ""timid"", ""unconfident""]","[""gets hit"", ""gets talked to severely"", ""get a work done"", ""is rude to others"", ""becomes concerned""]","[""none""]","[""none""]","[""kind"", ""caring"", ""lack of power"", ""like a failure"", ""sad"", ""lonely""]","[""make a bed for Y"", ""invite y in"", ""to get work done"", ""to get ahead of tasks"", ""to not leave personY"", ""to keep personY longer""]",tst,PersonX sends PersonY home,have problem with,multi_word
PersonX is not at all always busy,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""carefree"", ""laid-back"", ""available"", ""idle""]","[""none"", ""saves energy"", ""smiles""]","[""to relax now and then"", ""to avoid being overworked"", ""none""]","[""none"", ""to be retired"", ""only work part time"", ""he have to work on time"", ""he spend time on watching movies""]","[""relaxed"", ""peaceful"", ""free"", ""happy"", ""care free""]","[""to do things they enjoy"", ""to lay on couch and watch a movie"", ""to enjoy their free time"", ""get a new job"", ""he watch match in mobile"", ""he spend time in garden""]",tst,PersonX is always busy,not at all,multi_word
PersonX never represents PersonX's country,"[""none""]","[""none""]","[""none""]","[""unpatriotic"", ""spoiled"", ""traitor"", ""aloof""]","[""none"", ""hates their country"", ""protests against the country's rules""]","[""none"", ""to be unpatriotic"", ""to not be embarrassed""]","[""none"", ""to establish citizenship of a certain country"", ""to disassociate themselves from their country""]","[""mean"", ""selfish"", ""satisfied"", ""comfortable""]","[""to be patriotic"", ""to apologize to countrymen"", ""to explain their dissatisfaction"", ""to improve things in their country"", ""to be invisible"", ""to not show pride""]",tst,PersonX represents PersonX's country,never,single_word
PersonX not at all becomes ill,"[""none""]","[""none""]","[""none""]","[""healthy"", ""vibrant"", ""well""]","[""none"", ""get a work done"", ""shake their hands"", ""medicine takes effect""]","[""none""]","[""has healthy diet"", ""exercises daily"", ""none"", ""to exercise consistently"", ""eat healthy diet""]","[""healthy"", ""fine"", ""happy"", ""hearty"", ""strong""]","[""to continue healthy life"", ""maintain their diet"", ""to continue taking precautions to avoid illness"", ""to study medicine"", ""to stay healthy"", ""live a long life""]",tst,PersonX becomes ill,not at all,multi_word
PersonX disapproves paying PersonX's taxes,"[""to rest"", ""to play"", ""none"", ""they must pay it themselves""]","[""none""]","[""none""]","[""unconventional"", ""irresponsible"", ""Annoyed"", ""Feels unique"", ""Thinks they\u2019re extraordinary"", ""Thinks they\u2019re the exception""]","[""plan to get a work"", ""q"", ""none""]","[""none"", ""to have more money"", ""thinks taxation is theft""]","[""none"", ""to work"", ""to get paid"", ""be presented with a tax bill"", ""be upset by the tax bill""]","[""rebellious"", ""nervous"", ""disgruntled"", ""irritated"", ""violated"", ""miffed"", ""resentful""]","[""to evade the IRS"", ""to become an activist"", ""to visit an accountant"", ""to fill out less income on tax forms"", ""get an accountant"", ""appeal the taxes""]",tst,PersonX pays PersonX's taxes,disapprove,verb
PersonX becomes very unhappy,"[""none""]","[""none""]","[""none""]","[""Melancholy"", ""Depressed"", ""Down"", ""sad"", ""depressed""]","[""plan for a meeting"", ""frowns"", ""looks away"", ""sulks alone"", ""cries from unhappiness""]","[""none""]","[""to get fired"", ""to suffer a big loss"", ""to receive bad news"", ""get fired from job"", ""none""]","[""sad"", ""worried"", ""miserable"", ""resentful at the cause"", ""depressed"", ""frustrated""]","[""to go to therapy"", ""to take a break"", ""do something fun"", ""try to relax"", ""to be left alone"", ""to cry""]",tst,PersonX becomes very happy,unhappy,affixes_adj
PersonX hardly sets the thames on fire,"[""none""]","[""none"", ""unimpressed"", ""bored""]","[""none""]","[""careful"", ""calm"", ""peaceful""]","[""becomes hot"", ""burns hand"", ""none""]","[""none"", ""to be less exciting"", ""to be less dramatic""]","[""none""]","[""excited"", ""happy"", ""lackluster"", ""run-of-the-mill"", ""dull"", ""comfortable"", ""stress free""]","[""to preserve them"", ""to make use of them"", ""avoid them"", ""to get a new one"", ""to arrange the party"", ""to eat a lot""]",tst,PersonX sets the thames on fire,hardly,single_word
PersonX avoids hosting a party,"[""none""]","[""none"", ""lonely"", ""bored"", ""discontent"", ""let down""]","[""none""]","[""unfriendly"", ""unaccommodating"", ""shy"", ""quiet""]","[""saves energy"", ""loses friends"", ""stresses others will find him boring"", ""thinks about how his house will stay clean"", ""none""]","[""none"", ""to be alone"", ""to save money"", ""to rest"", ""to avoid working""]","[""to have a house"", ""to not be interested in parties"", ""none""]","[""happy"", ""satisfied"", ""frugal"", ""bored"", ""justified"", ""relieved""]","[""to be more social"", ""to invite people over and try new things"", ""to spend time alone"", ""to avoid expenses"", ""to feel alone"", ""to go abroad""]",tst,PersonX hosts a party,avoid,verb
PersonX makes no attempt to call PersonY the next day,"[""none"", ""waits for PersonX to call"", ""wastes most of their day waiting for a call""]","[""ignored"", ""uninvolved"", ""none"", ""frustrated"", ""hurt""]","[""none"", ""to know why PersonX didn't call"", ""to know why PersonX didn't like them"", ""to call personX"", ""to check their phone""]","[""thoughtless"", ""self-absorbed"", ""neglectful"", ""a ghoster""]","[""none"", ""Recieves phone call"", ""Thinks this is not the right person""]","[""to limit communication"", ""to distance themselves"", ""none"", ""to be mean"", ""to avoid leading person y on""]","[""none"", ""to have been with PersonY the day before"", ""to have promised to call""]","[""warranted"", ""prudent"", ""disinterested"", ""disappointed"", ""guarded"", ""uncaring""]","[""to stop seeing them"", ""to not have to be around PersonY anymore"", ""to be spared having to tell PersonY they're not interested"", ""to call someone else"", ""to avoid personY""]",tst,PersonX calls PersonY the next day,make no attempt to,multi_word
PersonX is at the bar in the absence of friends,"[""none""]","[""none"", ""worried"", ""rejected""]","[""none""]","[""lonely"", ""introverted"", ""solitary""]","[""gets drunk"", ""gets lonely"", ""frowns"", ""gets free drink"", ""orders a drink"", ""takes a drink""]","[""none"", ""to be alone"", ""to have some peace and quiet""]","[""to find a bar"", ""go to the bar alone"", ""none"", ""go to the bar"", ""avoid inviting others""]","[""lonely"", ""sad"", ""friendless"", ""at peace""]","[""to invite their friends to the bar"", ""talk to the bartender"", ""to get a drink"", ""to get drunk"", ""meet new people"", ""go home""]",tst,PersonX is at the bar with friends,in the absence of,multi_word
PersonX is in no way ready to go,"[""none""]","[""none""]","[""none""]","[""sad"", ""busy"", ""habitually late"", ""absentminded""]","[""none"", ""is late"", ""is hurried"", ""sees messy hair"", ""sweats""]","[""none""]","[""be on vacation"", ""be enjoying themselves"", ""none""]","[""irresponsible"", ""not prepared"", ""hurried"", ""inactive"", ""rushed"", ""stressed""]","[""to extend vacation"", ""to keep having fun"", ""to hold off on their appointment"", ""to avoid shots"", ""to get ready"", ""to pack more""]",tst,PersonX is ready to go,in no way,multi_word
PersonX under no circumstances impresses with PersonX's work,"[""none""]","[""get a money"", ""none""]","[""to commend PersonX"", ""to compliment PersonX"", ""PersonX to improve"", ""PersonX to try harder next time"", ""none""]","[""mediocre"", ""unimpressive"", ""dull"", ""blundering"", ""clumsy""]","[""none"", ""thinks about being average"", ""stresses about getting fired"", ""they get a demotion"", ""they lose their job""]","[""get a money"", ""none""]","[""to go to their job"", ""to sit at a desk"", ""perform a task"", ""do a job"", ""none""]","[""get a money"", ""sad"", ""lazy"", ""ashamed"", ""regretful""]","[""to explain what they did"", ""to show the results"", ""to improve their performance"", ""to do better next time"", ""to get better at the work they do"", ""start to get more done at their job""]",tst,PersonX impresses with PersonX's work,under no circumstances,multi_word
PersonX is still unangry,"[""none"", ""get a work done"", ""to eat""]","[""none""]","[""none""]","[""serene"", ""calm"", ""Happy"", ""Content"", ""Indifferent""]","[""none"", ""cry"", ""get comforted""]","[""none""]","[""remain calm"", ""stay relaxed"", ""none""]","[""happy"", ""satisfied"", ""relaxed"", ""peaceful""]","[""not become bitter person"", ""have control over emotions"", ""to do something they enjoy"", ""to remain not upset and keep mind off of negative things"", ""to get food"", ""to become full""]",tst,PersonX is still angry,unangry,affixes_adj
PersonX scarcely follows the recipe exactly,"[""none""]","[""none""]","[""none""]","[""inexact"", ""creative"", ""adventurous"", ""daring""]","[""none"", ""get a work done"", ""Creates a perfect dish"", ""Is complimented""]","[""to make the recipe their way"", ""to improvise"", ""none"", ""to do it on their own"", ""to prove their own skills""]","[""none"", ""to go to the grocery"", ""to buy ingredients"", ""to  look at the recipe"", ""cook something""]","[""pleased that they did it their way"", ""hopeful that it will turn out good"", ""creative"", ""adventurous"", ""independent"", ""rebellious""]","[""plan to meet a person"", ""to eat the food"", ""to do the dishes"", ""to take a shortcut again"", ""to replicate the cooking session""]",tst,PersonX follows the recipe exactly,scarcely,single_word
PersonX resists drawing PersonY conclusion,"[""get a work done"", ""none""]","[""none"", ""thankful"", ""happy""]","[""none"", ""to express their appreciation to PersonX"", ""to explain to PersonX the conclusion they've drawn""]","[""calm"", ""content"", ""perceptive"", ""cautious""]","[""get a work done"", ""none"", ""thinks for themselves"", ""makes a conclusion on their own""]","[""none"", ""to be fair"", ""to be mature""]","[""none"", ""to talk with PersonY"", ""to hear PersonY's argument""]","[""lonely"", ""nervous"", ""mature"", ""kind""]","[""to explain their resistance"", ""to hear PersonY's conclusion from PersonY themselves"", ""to analyze further"", ""to get more information""]",tst,PersonX draws PersonY conclusion,resist,verb
PersonX has no dreams last night,"[""none""]","[""none""]","[""none""]","[""dreamless"", ""rested"", ""deep sleeper"", ""tired""]","[""wakes up"", ""screams"", ""woke up refreshed"", ""has clear head"", ""has a good nights sleep"", ""feels rested""]","[""none""]","[""to not get any sleep"", ""rarely have dreams"", ""none""]","[""suprised"", ""shocked"", ""well rested"", ""alert""]","[""get more rest"", ""have a good dream"", ""to try and sleep again to have dreams"", ""ask his friends if they had dreams when they slept"", ""to do nothing and carry about their day"", ""to sleep better"", ""to take sleeping pills""]",tst,PersonX has a dream last night,no,single_word
PersonX lacks a laugh,"[""none""]","[""none""]","[""none""]","[""boring"", ""lame"", ""serious"", ""somber""]","[""none"", ""plan for a meeting"", ""is sad"", ""dislikes everyone""]","[""none"", ""to be unhumorous"", ""be serious""]","[""none"", ""to be sad"", ""is unamused""]","[""sad"", ""unhappy"", ""straight laced"", ""unfunny""]","[""to find something to laugh about"", ""to try and be mature"", ""Not laugh"", ""No giggling"", ""to watch something funny"", ""to smile""]",tst,PersonX has a laugh,lack,single_word
