event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX rushes past PersonY in the hall,tst,"[""busy"", ""hurried"", ""worried""]","[""Becomes winded"", ""Arrives on time to destination"", ""Catches the attention of others"", ""excited"", ""catch some breath""]","[""Wonders why PersonX didn\u2019t acknowledge them"", ""Gets stared at by other people"", ""Is ignored by PersonX"", ""none""]",,,"[""to avoid them"", ""Make it to class"", ""feel alone"", ""very sad ,bad""]","[""to see personx"", ""tell them to slow down"", ""none""]",,"[""none""]",PersonX remembers PersonY's name
PersonX is dry,tst,"[""comfortable"", ""protected"", ""clean"", ""smart""]","[""none""]","[""none""]",,,"[""to apply lotion"", ""ware cloths"", ""very safe ,relax"", ""feel very honesty""]","[""none""]",,"[""none""]",PersonX rains cats and dogs
PersonY describes PersonX's experience,tst,"[""empathetic"", ""knowledgeable"", ""descriptive"", ""vivid""]","[""thinks about what happened"", ""smiles at the past"", ""can't live up to expectations"", ""fails to produce""]","[""none""]","[""understood"", ""misunderstood"", ""interupted"", ""like they have been listened to"", ""like they have relived something"", ""annoyed"", ""angry""]","[""knowledgable"", ""connected"", ""like they represented someone"", ""told a good story"", ""proud"", ""happy""]","[""to enjoy listening"", ""to share the experience"", ""to share with others"", ""motivates them"", ""act interested"", ""to telant""]","[""none""]","[""none"", ""to hear an accurate depiction"", ""have their story told""]","[""to talk to person y"", ""to hear what person y say"", ""none""]",PersonX describes PersonY's experience
PersonX looks amazingly wonderful.,tst,"[""beautiful"", ""pretty"", ""handsome""]","[""receives praise"", ""blushes"", ""thinks of getting married"", ""gains compliments from coworkers"", ""gains friends"", ""becomes popular""]","[""none""]",,,"[""to solve issues"", ""to help the situation"", ""go out""]","[""none""]",,"[""none"", ""dress up"", ""clean up""]",PersonX looks like crap
PersonX drives through a muddy field.,tst,"[""confident"", ""adventurous"", ""bold""]","[""get dirty"", ""get struck"", ""to stay at alone"", ""to go trekking""]","[""none""]",,,"[""travel to car"", ""enjoy journey"", ""Stay muddy"", ""Clean car""]","[""none""]",,"[""none""]",PersonX washes the car
PersonX turns up PersonY's music.,tst,"[""engaged"", ""curious"", ""deaf"", ""interested""]","[""Told not to touch the dial"", ""Kicked out of the car"", ""euphoria sweeps over them"", ""glee fills their heart""]","[""none"", ""endorphins are released"", ""adrenaline increases""]",,,"[""to pick a different song"", ""to talk to person Y"", ""to listen the song"", ""to learn the music""]","[""to listen to person X's choice"", ""to talk to person X"", ""none""]",,"[""to be near person Y"", ""to listen to person Y's tunes"", ""none""]",PersonX turns PersonY's music down
PersonX decides to make a salad.,tst,"[""healthy"", ""dutiful"", ""craving salad""]","[""they eat lunch"", ""they cut up vegetables"", ""they make salad dressing"", ""they clean their dishes"", ""gets salad dressing splashed on them"", ""smiles""]","[""none""]","[""happy"", ""satisfied"", ""useful"", ""needed"", ""full"", ""content""]","[""none""]","[""to make salad"", ""to eat salad"", ""serves it at the table"", ""ate it"", ""he prepare a salad"", ""he ate fully""]","[""none""]","[""to prepare dish"", ""to feed his family"", ""to eat the salad"", ""to eat"", ""to lose weight""]","[""to see a salad"", ""to be hungry"", ""none"", ""he is more  hungry"", ""he went to cook""]",PersonX decides to order a pizza
PersonX destroys PersonY's garden,tst,"[""careless"", ""cruel"", ""remorseless""]","[""none"", ""commits crime"", ""get arrested""]","[""No garden"", ""Start over"", ""none""]",,,"[""to apologize to PersonY"", ""to pick a fight with PersonY"", ""to rest"", ""to play""]","[""to yell at PersonX"", ""to fight with PersonX"", ""none""]",,"[""to find PersonY's garden"", ""to mow over PersonY's garden"", ""plan to meet person""]",PersonX waters PersonY's garden
PersonX  puts bait,tst,"[""capable"", ""adventurous"", ""competitive""]","[""catches a fish"", ""cannot catch a thing all day"", ""they catch a fish"", ""they feel something bite""]","[""none""]","[""content"", ""accomplished"", ""pride"", ""nervous"", ""anxious"", ""surprised"", ""shocked"", ""happy""]","[""none""]","[""to catch fish"", ""to eat the fish"", ""to stay free"", ""to clear the things"", ""go fishing"", ""drive to a pond""]","[""none""]","[""to catch an animal"", ""to hunt or fish"", ""to gather raw materials or ingredents from the wild"", ""to catch a fish"", ""to lure"", ""none""]","[""to open the box"", ""to look at the bait"", ""none"", ""to buy bait"", ""gather their fishing rod""]",PersonX cuts bait
PersonX repays PersonY,tst,"[""trustworthy"", ""honest"", ""thoughtful"", ""nice""]","[""lacks food"", ""lacks medicine"", ""thanked"", ""talked to""]","[""none"", ""thanked"", ""talked to""]","[""relieved"", ""calm"", ""optimistic"", ""happy"", ""honest""]","[""thankful"", ""happy"", ""excited"", ""grateful""]","[""going to help"", ""get some foods"", ""Go home"", ""Save money"", ""to repay"", ""to thank person y""]","[""give some help in time"", ""want to get chance"", ""Put money in wallet"", ""Happy they were paid back"", ""to say welcome"", ""to accept person x's repay""]","[""to stay friends"", ""to be trusted"", ""to pay back a debt"", ""get out of debt"", ""to be a good friend"", ""to live an honest life"", ""to not be in debt""]","[""work well"", ""get some works"", ""Get money"", ""Contact person Y"", ""to lend some money from person y"", ""to ask help from person y""]",PersonX asks PersonY for money
PersonX finds everything tedious,tst,"[""annoyed"", ""irritated"", ""aloof"", ""lazy"", ""stubborn""]","[""is stressed"", ""is frustrated"", ""takes longer inadvertanly to complete tasks"", ""gets frustrated and frowns""]","[""none""]",,,"[""to be calm"", ""to be quiet"", ""to do something relaxing"", ""to avoid doing anything difficult"", ""to quit their job""]","[""none""]",,"[""none""]",PersonX has tons of fun
PersonX is miserable,tst,"[""depressed"", ""sad"", ""shy"", ""troubled""]","[""feels bad"", ""depressed"", ""becomes ashamed of themself"", ""looks depressed""]","[""none""]",,,"[""to vent to a friend"", ""to go for a walk"", ""to try and make new friends"", ""to look into getting a hobby"", ""to be violent"", ""to hate other""]","[""none""]",,"[""none""]",PersonX enjoys life
PersonX watch schematically in figure,tst,"[""meticulous"", ""careful"", ""curious"", ""intelligent"", ""detail oriented""]","[""none"", ""Caught by neighbor"", ""Questioned intensely""]","[""none""]",,,"[""change the access of mind"", ""want to change a size"", ""to make plans"", ""to take a rest"", ""to take notes in case they miss anything"", ""to check and be sure they are correct""]","[""none""]",,"[""watch the figure size"", ""watch for the moment"", ""to look up"", ""to observe"", ""none""]",PersonX shows schematically in figure
PersonX hates learning languages.,tst,"[""indifferent"", ""unkind"", ""monolingual"", ""disinterested""]","[""think about language"", ""get out from the place"", ""none""]","[""none""]",,,"[""to get well"", ""to give up"", ""to learn a different language""]","[""none""]",,"[""to get well"", ""to learn language"", ""to enroll in a class""]",PersonX wants to learn spanish
PersonX is being babysat by PersonY's cousin.,tst,"[""young"", ""naive"", ""unpredictable"", ""youthful""]","[""gets fed by PersonY's cousin"", ""is put to bed by PersonY's cousin"", ""is safe"", ""taken care of""]","[""none""]","[""grateful"", ""excited"", ""like having fun"", ""secure"", ""happy"", ""loved"", ""cared for"", ""grateful"", ""excited"", ""like having fun""]","[""grateful for work"", ""annoyed by responsibility"", ""Compassionate"", ""responsible"", ""responsible for PersonX"", ""culpable for the treatment of PersonX"", ""grateful for work"", ""annoyed by responsibility""]","[""stay indoors"", ""feels great"", ""to stay home"", ""to sleep well"", ""to take care of person y cousin's baby"", ""to work has a baby sitter""]","[""none"", ""to pay some money"", ""to give compliment""]","[""none""]","[""none"", ""to be a baby sitter"", ""to love baby""]",PersonX babysits PersonY's cousin
PersonX gets a ham sandwich,tst,"[""easygoing"", ""unrefined"", ""hungrey"", ""tempted""]","[""picks up some napkins"", ""gets a bag of chips"", ""has something to eat"", ""becomes full""]","[""none""]",,,"[""get a cheap best foods"", ""get some foods and rest""]","[""none""]",,"[""none"", ""plan for get some foods"", ""going to the restaurant""]",PersonX gets snacks
PersonX wants to learn to bake.,tst,"[""consistent"", ""confident"", ""motivated"", ""curious"", ""determined""]","[""buys ingredients"", ""gets knowledge"", ""gain knowledge about the subject"", ""get practice""]","[""none""]",,,"[""to look up recipes"", ""to purchase ingredients and bakeware"", ""to read cook book"", ""to watch baking tutorials""]","[""none""]",,"[""to have an interest in baking"", ""to have an oven"", ""none""]",PersonX wants to learn to cook
PersonX stays away from PersonY's phone,tst,"[""considerate"", ""respectful"", ""cautious""]","[""gains trust from person y"", ""becomes persons y friend"", ""is appreciated"", ""is praised""]","[""sighs in relief from phone being safe"", ""no effect"", ""none""]","[""content"", ""suspicious"", ""happy"", ""proud"", ""good"", ""satisfied""]","[""safe"", ""respected"", ""loved"", ""thankful"", ""worried"", ""sad""]","[""talk to someone about it"", ""avoid personY"", ""to secure their secret"", ""not to share the personal"", ""get congratulated"", ""get thanked"", ""to call person y"", ""to talk to person y""]","[""avoid PersonX"", ""keep his phone out of sight"", ""none""]","[""to respect PersonY's privacy"", ""because PersonY will get mad"", ""to respect persony"", ""to do the right thing"", ""not to use other things""]","[""to know where the phone is"", ""establish how close is too close"", ""know what the phone looks like"", ""none"", ""get the respect"", ""give out privacy"", ""to get bath"", ""to work""]",PersonX blows up PersonY's phone
PersonX sees their own mother,tst,"[""loving"", ""caring"", ""loyal"", ""courteous""]","[""happy"", ""share the more"", ""to welcome his mother"", ""to arrange the foods""]","[""none""]",,,"[""to catch up"", ""to ask mom questions"", ""to joint with his mother"", ""to go home""]","[""to give PersonX a hug"", ""to converse"", ""none""]",,"[""to go to their mother"", ""to make plans"", ""to walking on road"", ""to see all""]",PersonX sees PersonY's mother
PersonX walks towards PersonY,tst,"[""focused"", ""on a mission"", ""approaching"", ""lonely""]","[""Gets closer to persony"", ""gets persony's attention"", ""can see PersonY more clearly"", ""can hear PersonY more clearly"", ""stand closer to PersonY""]","[""smells personx"", ""gets less space"", ""can see PersonX more clearly"", ""can hear PersonX more clearly"", ""stand closer to PersonX""]",,,"[""to go out"", ""to go dinner"", ""to shake PersonY's hand"", ""to greet personY""]","[""none"", ""to say hello"", ""to smile""]",,"[""none"", ""to stand up"", ""to make eye contact with PersonY""]",PersonX flies towards PersonY
PersonX dies during the day,tst,"[""assiduous"", ""hard-working"", ""mourned by others"", ""unlucky""]","[""heart stops beating"", ""stops breathing"", ""brain function ceases"", ""Put into a casket"", ""Buried in cemetary""]","[""none""]",,,"[""to go to heaven"", ""to rest forever""]","[""none"", ""to know cause of death"", ""to sympathize""]",,"[""be alive"", ""none""]",PersonX makes it through the day
PersonX is very serious with PersonY,tst,"[""concerned"", ""fatherly"", ""glad"", ""grateful""]","[""becomes proud of themselves"", ""spirit is uplifted"", ""need to ask the reason"", ""try to forgive person y""]","[""none""]",,,"[""leave PersonY"", ""lighten up their attitude"", ""to serious plan"", ""to do some plan""]","[""to avoid PersonX"", ""to do something fun"", ""make plan"", ""make a variety""]",,"[""visit PersonY"", ""speak to PersonY"", ""take serious"", ""plan for work""]",PersonX pulls PersonY's legs
personx always loses,tst,"[""incompetent"", ""unskilled"", ""uncompetitive""]","[""cries"", ""frowns"", ""becomes depressed"", ""gets called a loser""]","[""none""]","[""sad"", ""depressed"", ""embarrassed"", ""ashamed"", ""guilty"", ""annoyed"", ""downtrodden"", ""hopeless"", ""inhibited""]","[""none"", ""happy"", ""proud""]","[""improve his skill on work"", ""follow some startergy"", ""stop playing games"", ""stay away from the places, websites, and reminders of the things that compel him to play again when they know they will ultimately lose"", ""seek treatment for gambling addiction and low self esteem"", ""gamble/bet/play games again to try to make their money back (because maybe THIS will be their lucky, long-awaited winning day!)"", ""try's better this round"", ""neve gives up""]","[""none""]","[""none"", ""to appear a certain way"", ""to get out of something""]","[""done some incompleted acts"", ""unaware on work"", ""play games"", ""enter drawings/lotteries"", ""gamble"", ""none""]",PersonX always beat
